Component,Qty,EGP/Unit,Sum EGP,Purpose,Link
18650 Li-ion 3350?mAh battery,6,130,780,Battery cells,https://makerselectronics.com/product/li-ion-rechargeable-bak-18650-battery-high-drain-3-6v-3350mah-10a-n18650cp-used-like-new?srsltid=AfmBOor2rOykO1Dj5y_wV65i9OraG-vKw1c6xhg-nqxmEKl0tOlRldiy
3S 10A BMS board,2,65,130,Battery protection,https://makerselectronics.com/product/bms-3s-10a-12-6v-lithium-battery-charger-protection-module?srsltid=AfmBOorE-w0my-emTsyfk17vpyOVBykCfSLK7ghbtVbin8TIaQs-qaQo
USB-PD trigger board,1,200,200,PD 12V trigger,https://makerselectronics.com/product/usb-pd-decoy-trigger-board-adjustable-volt-5v-9v-12v?campaignid=20503411856&adgroid=up&network=x&device=c&campaignname=sales_pmax&gad_source=1&gad_campaignid=20503433012&gbraid=0AAAAApRJSNFLJYi09si60JAT9q6BT0XGN&gclid=CjwKCAjwo4rCBhAbEiwAxhJlCbBUgcLz1e5CrWSCr2zjkiBM2RCcMKvFdRGevII9d2U0f5IHR_MclRoCTWcQAvD_BwE
DC jack w/ terminal block,1,75,75,Power connector,https://makerselectronics.com/product/female-dc-jack-adapter-with-terminal-block
Mini push-button 6x6x9mm,2,5,10,Manual input,https://makerselectronics.com/product/mini-push-button-4-pin-6x6x9mm?campaignid=20503411856&adgroid=up&network=x&device=c&campaignname=sales_pmax&gad_source=1&gad_campaignid=20503433012&gbraid=0AAAAApRJSNFLJYi09si60JAT9q6BT0XGN&gclid=CjwKCAjwo4rCBhAbEiwAxhJlCXE1uferXBb2GZbcO9Td5ZIdqrQV-IckGrfZXzu_iQOB0UFHxJqlBRoCEk8QAvD_BwE
DC-DC Boost Converter 400W,1,350,350,Voltage step-up,https://makerselectronics.com/product/dc-dc-boost-converter-voltage-step-up-module-400w-12a
Digital Voltmeter & Ammeter,1,175,175,Display voltage/current,https://makerselectronics.com/product/dc-0-100v-10a-digital-voltmeter-and-ammeter-dual-display?srsltid=AfmBOopm3n_lA44fzS5syUvxzWsip-Ii9TcJOte6ZSQwiaZ6tZLdqaWs
Battery capacity LCD (GY-6),1,170,170,Charge indicator,"https://microohm-eg.com/product/battery-capacity-indicator-tester-lcd-panel-gy-6/?srsltid=AfmBOooS3m-0K8wqG38feN7hLQqyt8e8KyBfmcQUhC88k_tQrstGAzMc#:~:text=This%20is%20a%2012,Green%203%20Strings%20Lithium%20Battery"
QC 4.0 Step-Down Module (AliExpress),2,300,600,Fast charging input,https://www.aliexpress.us/item/3256808964103204.html?spm=a2g0o.productlist.main.16.30b234fb8nf3ff&aem_p4p_detail=202506071120242041117469894880002919691&algo_pvid=c18b6809-581c-44fb-84ef-c831d8c3547f&algo_exp_id=c18b6809-581c-44fb-84ef-c831d8c3547f-15&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EGP%21305.10%2155.09%21%21%2139.35%217.11%21%40212e508d17493204246173483eca54%2112000048100282762%21sea%21US%216169838159%21ABX&curPageLogUid=Ku2AsMC5HYdd&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202506071120242041117469894880002919691_5
USB-C female board (RAM-E),1,75,75,USB-C output,https://www.ram-e-shop.com/shop/kit-usb9-c-type-usb-type-c-female-interface-board-8031?srsltid=AfmBOooW5xjkg7gGL_Qx_pFZrUmoNE365EWwFDp-hoqlAxDZjmuLVgE5
AWG?12 wire (1?m),1?m,100,100,Main high?current wiring,https://store.fut-electronics.com/products/copy-of-wire-awg-12-black-0-5-m?srsltid=AfmBOopbVPYqo1DuEZYSfBHbUEV06o_0fgflBVhmZ-inxpmeDYqG-4jo
PVC heat-shrink tube (battery wrap),1?m,35,35,Insulates packs,https://microohm-eg.com/ar/product/lithium-battery-pvc-heat-shrink-blue-tube-for-85mm-180mm-1-meter/
0.2×8?mm plated nickel strip (1?m),1?m,18,18,Battery series weld tabs,https://microohm-eg.com/ar/product/0-2-x-8-mm-plated-nickel-strip-for-battery-connection-welding-1-meter/
Aluminium soldering flux (10?mL),1,60,60,Solder tabs/conductors,https://makerselectronics.com/product/aluminium-soldering-liquid-flux-10ml?srsltid=AfmBOop39kZHn64mYo7Q8e9kaDbbcO-Q05J3B3xumvutGoT3_G_2bG4k
Total EGP without 3D printing,2778,Total USD without 3D printing  ,56$,,
Estimated 3D printing value EGP,400,Estimated 3D printing value USD,8$,,
Total needed value USD,,65$,,,
